	TEAM	GP	AST	APG	TO	TOPG	AST/TO	Season	BLK/PF	PF	BLK	BLKPG	OFF	RPG	REB	ORPG	DRPG	DEF	STL	ST/PF	ST/TO	STPG	2PA	PPG	3PATotal	2P%	3PMTotal	PPS	3PMPG	3PAPG	FG%	2PM	3P%	FTAPG	FTATotal	FT%	FTMPG	FTMTotal
112	Old Dominion	35	461	13.2	322	9.2	1.43	2015	0.22	642	144	4.11	465	38.9	1360	13.3	25.6	895	201	0.31	0.62	5.74	1576	68.5	475	.485	143	1.17	4.1	14	.477	764	.301	18.5	648	.679	12.6	440
113	Detroit Mercy	31	408	13.2	422	13.6	0.97	2015	0.19	707	133	4.29	373	37.7	1169	12.0	25.7	796	213	0.30	0.50	6.87	1280	83.7	651	.511	244	1.34	7.9	21	.528	654	.375	25.6	795	.698	17.9	555
114	Rice	32	420	13.1	419	13.1	1.00	2015	0.16	562	89	2.78	294	32.9	1052	9.2	23.7	758	204	0.36	0.49	6.38	1082	75.8	716	.541	228	1.35	7.1	22	.516	585	.318	24.2	773	.741	17.9	573
115	Air Force	32	420	13.1	423	13.2	0.99	2015	0.09	617	58	1.81	283	34.6	1107	8.8	25.8	824	196	0.32	0.46	6.13	1162	68.4	596	.473	202	1.25	6.3	19	.485	550	.339	22.1	707	.683	15.1	483
116	Dartmouth	28	367	13.1	401	14.3	0.92	2015	0.09	569	49	1.75	335	35.9	1004	12.0	23.9	669	193	0.34	0.48	6.89	1148	71.1	458	.474	156	1.24	5.6	16	.484	544	.341	21.5	603	.723	15.6	436
117	Seattle	30	393	13.1	471	15.7	0.83	2015	0.09	542	48	1.60	342	36.7	1102	11.4	25.3	760	182	0.34	0.39	6.07	1122	65.1	510	.458	182	1.20	6.1	17	.482	514	.357	18.9	567	.667	12.6	378
118	Liberty	32	419	13.1	442	13.8	0.95	2015	0.07	638	44	1.38	214	29.5	943	6.7	22.8	729	178	0.28	0.40	5.56	870	64.7	774	.523	283	1.26	8.8	24	.535	455	.366	13.6	434	.717	9.7	311
119	St. John's	32	418	13.1	491	15.3	0.85	2015	0.26	679	178	5.56	346	35.7	1143	10.8	24.9	797	202	0.30	0.41	6.31	1233	67.9	632	.447	206	1.17	6.4	20	.461	551	.326	22.3	714	.636	14.2	454
120	Florida	33	431	13.1	377	11.4	1.14	2015	0.23	647	147	4.45	434	40.1	1324	13.2	27.0	890	209	0.32	0.55	6.33	1253	73.6	734	.486	229	1.22	6.9	22	.479	609	.312	24.7	815	.643	15.9	524
121	Middle Tennessee	33	431	13.1	399	12.1	1.08	2015	0.17	672	116	3.52	341	37.0	1220	10.3	26.6	879	205	0.31	0.51	6.21	1229	72.7	673	.486	260	1.26	7.9	20	.519	597	.386	20.9	689	.617	12.9	425
122	Texas Tech	31	404	13.0	371	12.0	1.09	2015	0.23	573	130	4.19	320	34.2	1059	10.3	23.8	739	182	0.32	0.49	5.87	1183	72.4	517	.492	178	1.32	5.7	17	.499	582	.344	23.6	732	.746	17.6	546
123	California	33	428	13.0	403	12.2	1.06	2015	0.23	682	159	4.82	374	40.0	1319	11.3	28.6	945	136	0.20	0.34	4.12	1249	75.1	632	.508	233	1.32	7.1	19	.523	634	.369	23.6	780	.656	15.5	512
124	Houston	31	402	13.0	325	10.5	1.24	2015	0.20	596	120	3.87	402	38.0	1177	13.0	25.0	775	186	0.31	0.57	6.00	1263	77.9	605	.522	213	1.29	6.9	20	.524	659	.352	20.9	649	.704	14.7	457
125	Pacific	28	362	12.9	383	13.7	0.95	2015	0.11	637	71	2.54	282	35.5	993	10.1	25.4	711	125	0.20	0.33	4.46	983	69.6	576	.504	190	1.25	6.8	21	.500	495	.330	20.5	575	.675	13.9	388
126	Ole Miss	32	412	12.9	386	12.1	1.07	2015	0.16	636	100	3.13	424	38.4	1230	13.3	25.2	806	242	0.38	0.63	7.56	1170	75.2	745	.465	252	1.26	7.9	23	.481	544	.338	24.7	791	.709	17.5	561
127	Boston College	32	410	12.8	431	13.5	0.95	2015	0.16	579	93	2.91	243	31.2	997	7.6	23.6	754	181	0.31	0.42	5.66	1038	61.2	713	.468	231	1.12	7.2	22	.475	486	.324	14.1	452	.650	9.2	294
128	Texas A&amp;M-CC;	32	410	12.8	410	12.8	1.00	2015	0.22	681	147	4.59	366	35.3	1128	11.4	23.8	762	303	0.44	0.74	9.47	1249	73.6	609	.487	206	1.27	6.4	19	.494	608	.338	22.1	708	.737	16.3	522
129	Miami	32	410	12.8	341	10.7	1.20	2015	0.22	530	116	3.63	310	34.8	1112	9.7	25.1	802	194	0.37	0.57	6.06	1157	75.6	599	.534	219	1.38	6.8	19	.539	618	.366	21.9	702	.751	16.5	527
130	South Carolina State	33	422	12.8	385	11.7	1.10	2015	0.14	632	91	2.76	332	33.6	1109	10.1	23.5	777	150	0.24	0.39	4.55	1323	73.1	571	.499	196	1.27	5.9	17	.504	660	.343	21.1	696	.723	15.2	503
131	Longwood	33	421	12.8	474	14.4	0.89	2015	0.15	624	91	2.76	350	36.2	1193	10.6	25.5	843	205	0.33	0.43	6.21	1249	72.6	650	.507	227	1.26	6.9	20	.513	633	.349	19.3	636	.708	13.6	450
132	Buffalo	34	433	12.7	465	13.7	0.93	2015	0.17	722	123	3.62	417	39.1	1331	12.3	26.9	914	236	0.33	0.51	6.94	1287	77.6	750	.497	253	1.29	7.4	22	.500	639	.337	24.9	845	.710	17.6	600
133	Nicholls	34	433	12.7	534	15.7	0.81	2015	0.24	686	164	4.82	315	33.6	1144	9.3	24.4	829	229	0.33	0.43	6.74	1181	67.6	694	.487	212	1.23	6.2	20	.476	575	.305	23.0	782	.655	15.1	512
134	James Madison	32	406	12.7	380	11.9	1.07	2015	0.16	612	97	3.03	335	39.0	1247	10.5	28.5	912	139	0.23	0.37	4.34	1074	75.2	774	.514	278	1.30	8.7	24	.524	552	.359	21.3	682	.685	14.6	467
135	North Carolina Central	32	406	12.7	444	13.9	0.91	2015	0.09	635	54	1.69	395	36.8	1178	12.3	24.5	783	186	0.29	0.42	5.81	1230	69.4	575	.471	200	1.23	6.3	18	.487	579	.348	21.8	697	.663	14.4	462
136	Arizona State	32	405	12.7	384	12.0	1.05	2015	0.13	649	86	2.69	394	36.8	1177	12.3	24.5	783	170	0.26	0.44	5.31	1163	73.3	756	.466	254	1.22	7.9	24	.481	542	.336	22.7	726	.687	15.6	499
137	Alabama A&M;	29	367	12.7	340	11.7	1.08	2015	0.11	561	61	2.10	330	34.6	1002	11.4	23.2	672	163	0.29	0.48	5.62	1033	68.1	599	.490	175	1.21	6.0	21	.471	506	.292	22.1	642	.684	15.1	439
138	Montana State	31	392	12.6	375	12.1	1.05	2015	0.09	683	62	2.00	394	37.4	1159	12.7	24.7	765	149	0.22	0.40	4.81	1119	76.4	797	.477	297	1.24	9.6	26	.511	534	.373	19.3	598	.686	13.2	410
139	Louisiana	31	392	12.6	400	12.9	0.98	2015	0.19	592	114	3.68	444	41.6	1289	14.3	27.3	845	201	0.34	0.50	6.48	1253	79.5	654	.516	200	1.29	6.5	21	.497	647	.306	26.4	819	.696	18.4	570
140	UCF	30	379	12.6	440	14.7	0.86	2015	0.30	468	141	4.70	329	38.8	1165	11.0	27.9	836	137	0.29	0.31	4.57	1013	68.7	651	.501	207	1.24	6.9	22	.492	508	.318	20.6	619	.687	14.2	425
141	Charleston Southern	30	379	12.6	378	12.6	1.00	2015	0.11	576	63	2.10	308	35.1	1053	10.3	24.8	745	153	0.27	0.40	5.10	998	71.5	810	.495	280	1.19	9.3	27	.506	494	.346	17.1	512	.621	10.6	318
142	Rider	33	416	12.6	421	12.8	0.99	2015	0.21	587	124	3.76	330	35.5	1170	10.0	25.5	840	189	0.32	0.45	5.73	1156	66.0	647	.489	204	1.21	6.2	20	.483	565	.315	19.3	638	.682	13.2	435
143	Maryland-Eastern Shore	32	403	12.6	512	16.0	0.79	2015	0.10	691	72	2.25	337	33.7	1077	10.5	23.1	740	188	0.27	0.37	5.88	1105	68.1	610	.505	201	1.27	6.3	19	.501	558	.330	20.3	648	.708	14.3	459
144	Quinnipiac	30	377	12.6	459	15.3	0.82	2015	0.23	611	141	4.70	495	43.3	1299	16.5	26.8	804	146	0.24	0.32	4.87	1226	65.6	672	.383	229	1.04	7.6	22	.428	469	.341	17.7	532	.647	11.5	344
145	Jacksonville	32	402	12.6	366	11.4	1.10	2015	0.14	592	85	2.66	339	38.1	1218	10.6	27.5	879	207	0.35	0.57	6.47	1270	76.4	715	.463	278	1.23	8.7	22	.506	588	.389	20.0	640	.678	13.6	434
146	Illinois State	32	402	12.6	405	12.7	0.99	2015	0.18	622	115	3.59	344	35.7	1141	10.8	24.9	797	205	0.33	0.51	6.41	1129	67.2	706	.461	238	1.17	7.4	22	.478	521	.337	18.4	588	.668	12.3	393
147	La Salle	31	388	12.5	398	12.8	0.97	2015	0.17	539	92	2.97	274	30.9	957	8.8	22.0	683	217	0.40	0.55	7.00	945	64.1	762	.456	259	1.16	8.4	25	.480	431	.340	16.8	520	.669	11.2	348
148	Western Carolina	33	413	12.5	475	14.4	0.87	2015	0.16	677	109	3.30	389	36.4	1200	11.8	24.6	811	265	0.39	0.56	8.03	1216	72.9	706	.488	234	1.25	7.1	21	.491	593	.331	22.3	736	.702	15.7	517
149	Robert Morris	32	400	12.5	454	14.2	0.88	2015	0.23	553	127	3.97	303	32.5	1041	9.5	23.1	738	265	0.48	0.58	8.28	1135	65.1	645	.496	178	1.17	5.6	20	.466	563	.276	19.8	633	.667	13.2	422
150	Idaho	33	412	12.5	494	15.0	0.83	2015	0.12	713	88	2.67	380	37.3	1230	11.5	25.8	850	173	0.24	0.35	5.24	1186	69.9	573	.472	217	1.31	6.6	17	.503	560	.379	22.9	756	.709	16.2	536
151	Albany	32	399	12.5	404	12.6	0.99	2015	0.09	560	52	1.63	376	38.4	1228	11.8	26.6	852	212	0.38	0.52	6.63	1209	75.2	561	.523	180	1.36	5.6	18	.510	632	.321	25.1	803	.748	18.8	601
152	UNC Asheville	33	411	12.5	430	13.0	0.96	2015	0.19	575	110	3.33	384	37.8	1247	11.6	26.2	863	307	0.53	0.71	9.30	1330	75.6	586	.517	190	1.30	5.8	18	.507	687	.324	24.1	795	.694	16.7	552
153	UC Riverside	33	410	12.4	433	13.1	0.95	2015	0.15	655	101	3.06	328	35.2	1161	9.9	25.2	833	170	0.26	0.39	5.15	1121	69.7	716	.478	252	1.25	7.6	22	.498	536	.352	20.3	669	.704	14.3	471
154	Northern Arizona	30	372	12.4	389	13.0	0.96	2015	0.10	564	59	1.97	260	33.4	1001	8.7	24.7	741	186	0.33	0.48	6.20	1097	68.5	649	.437	220	1.18	7.3	22	.463	479	.339	20.6	619	.704	14.5	436
155	Oral Roberts	31	384	12.4	373	12.0	1.03	2015	0.24	563	133	4.29	299	35.5	1101	9.6	25.9	802	162	0.29	0.43	5.23	1307	76.0	514	.488	194	1.29	6.3	17	.510	638	.377	21.5	665	.749	16.1	498
156	Drexel	31	384	12.4	345	11.1	1.11	2015	0.16	676	108	3.48	324	33.0	1022	10.5	22.5	698	141	0.21	0.41	4.55	1204	63.2	517	.421	170	1.14	5.5	17	.443	507	.329	20.5	634	.685	14.0	434
157	Georgia	32	396	12.4	430	13.4	0.92	2015	0.25	669	168	5.25	372	39.2	1253	11.6	27.5	881	156	0.23	0.36	4.88	1209	70.1	560	.446	205	1.27	6.4	18	.479	539	.366	24.5	783	.702	17.2	550
158	San Francisco	30	371	12.4	379	12.6	0.98	2015	0.14	619	88	2.93	389	39.4	1181	13.0	26.4	792	162	0.26	0.43	5.40	1180	77.6	658	.487	233	1.27	7.8	22	.503	575	.354	23.6	708	.678	16.0	480
159	Hartford	33	408	12.4	385	11.7	1.06	2015	0.09	702	63	1.91	229	30.1	992	6.9	23.1	763	221	0.31	0.57	6.70	1004	70.8	902	.456	319	1.23	9.7	27	.491	458	.354	18.8	619	.748	14.0	463
160	Santa Clara	31	383	12.4	350	11.3	1.09	2015	0.14	613	83	2.68	279	33.8	1047	9.0	24.8	768	134	0.22	0.38	4.32	1066	67.2	674	.451	232	1.20	7.5	22	.476	481	.344	19.1	592	.718	13.7	425
161	Coastal Carolina	29	358	12.3	359	12.4	1.00	2015	0.18	511	91	3.14	326	39.0	1132	11.2	27.8	806	173	0.34	0.48	5.97	1052	74.7	620	.529	214	1.30	7.4	21	.525	556	.345	21.3	619	.667	14.2	413
162	Southeast Missouri State	29	358	12.3	402	13.9	0.89	2015	0.09	514	46	1.59	326	35.3	1023	11.2	24.0	697	218	0.42	0.54	7.52	1198	67.0	513	.455	154	1.14	5.3	18	.454	545	.300	21.1	612	.641	13.5	392
163	UMBC	32	395	12.3	398	12.4	0.99	2015	0.09	640	58	1.81	279	31.8	1017	8.7	23.1	738	223	0.35	0.56	6.97	1136	72.1	652	.504	216	1.29	6.8	20	.501	572	.331	23.6	754	.683	16.1	515
164	Idaho State	31	381	12.3	409	13.2	0.93	2015	0.15	587	90	2.90	284	34.8	1079	9.2	25.6	795	226	0.39	0.55	7.29	1081	74.2	686	.481	250	1.30	8.1	22	.507	520	.364	22.6	700	.727	16.4	509
165	Arkansas State	31	381	12.3	398	12.8	0.96	2015	0.22	613	136	4.39	334	40.1	1243	10.8	29.3	909	157	0.26	0.39	5.06	1285	73.6	570	.459	180	1.23	5.8	18	.464	590	.316	24.7	766	.734	18.1	562
166	East Tennessee State	34	417	12.3	429	12.6	0.97	2015	0.19	685	127	3.74	357	35.7	1215	10.5	25.2	858	229	0.33	0.53	6.74	1280	77.8	718	.510	271	1.32	8.0	21	.530	653	.377	21.7	738	.711	15.4	525
167	Monmouth	34	417	12.3	426	12.5	0.98	2015	0.17	720	122	3.59	366	38.8	1320	10.8	28.1	954	283	0.39	0.66	8.32	1352	79.4	722	.472	267	1.30	7.9	21	.501	638	.370	23.9	813	.766	18.3	623
168	Nevada	32	392	12.3	424	13.3	0.92	2015	0.27	685	182	5.69	399	40.9	1309	12.5	28.4	910	232	0.34	0.55	7.25	1399	74.5	567	.467	163	1.21	5.1	18	.457	654	.287	25.0	801	.732	18.3	586
169	Wyoming	32	392	12.3	358	11.2	1.09	2015	0.14	594	84	2.63	181	30.9	989	5.7	25.3	808	132	0.22	0.37	4.13	769	71.7	857	.521	319	1.41	10.0	27	.541	401	.372	23.3	747	.716	16.7	535
170	Furman	33	404	12.2	435	13.2	0.93	2015	0.18	594	106	3.21	355	35.5	1173	10.8	24.8	818	200	0.34	0.46	6.06	1019	71.4	734	.552	237	1.34	7.2	22	.523	562	.323	22.5	742	.704	15.8	522
171	Jackson State	34	416	12.2	423	12.4	0.98	2015	0.17	730	124	3.65	460	40.0	1360	13.5	26.5	900	263	0.36	0.62	7.74	1360	68.2	734	.459	223	1.11	6.6	22	.458	624	.304	18.8	639	.631	11.9	403
172	Minnesota	31	379	12.2	354	11.4	1.07	2015	0.20	565	113	3.65	310	34.5	1068	10.0	24.5	758	170	0.30	0.48	5.48	1169	68.0	617	.456	191	1.18	6.2	20	.459	533	.310	21.4	663	.707	15.1	469
173	Kennesaw State	31	379	12.2	405	13.1	0.94	2015	0.16	605	99	3.19	322	33.5	1040	10.4	23.2	718	216	0.36	0.53	6.97	1318	72.2	507	.480	179	1.23	5.8	16	.493	632	.353	20.2	625	.701	14.1	438
174	Rhode Island	32	391	12.2	368	11.5	1.06	2015	0.26	606	159	4.97	335	34.9	1117	10.5	24.4	782	170	0.28	0.46	5.31	1178	69.4	584	.483	213	1.26	6.7	18	.504	569	.365	20.7	662	.669	13.8	443
175	Florida Intl	32	391	12.2	414	12.9	0.94	2015	0.25	598	149	4.66	328	37.4	1197	10.3	27.2	869	162	0.27	0.39	5.06	1280	71.2	499	.510	181	1.28	5.7	16	.520	653	.363	20.2	645	.664	13.4	428
176	Drake	31	378	12.2	421	13.6	0.90	2015	0.12	559	65	2.10	253	33.6	1043	8.2	25.5	790	116	0.21	0.28	3.74	1080	67.5	559	.482	215	1.28	6.9	18	.515	521	.385	18.1	562	.722	13.1	406
177	Missouri State	32	390	12.2	409	12.8	0.95	2015	0.21	623	130	4.06	333	35.5	1135	10.4	25.1	802	199	0.32	0.49	6.22	1285	67.3	532	.454	168	1.18	5.3	17	.460	584	.316	22.3	713	.675	15.0	481
178	Virginia Tech	33	402	12.2	423	12.8	0.95	2015	0.18	634	113	3.42	342	34.6	1141	10.4	24.2	799	178	0.28	0.42	5.39	1287	74.6	535	.487	191	1.35	5.8	16	.501	627	.357	27.5	906	.700	19.2	634
179	Southern Miss	29	353	12.2	388	13.4	0.91	2015	0.12	543	63	2.17	228	31.7	920	7.9	23.9	692	156	0.29	0.40	5.38	775	64.3	721	.458	257	1.25	8.9	25	.495	355	.356	18.6	540	.713	13.3	385
180	Jacksonville State	31	377	12.2	331	10.7	1.14	2015	0.16	611	96	3.10	315	32.1	994	10.2	21.9	679	158	0.26	0.48	5.10	1083	67.7	709	.441	243	1.17	7.8	23	.470	478	.343	18.3	567	.732	13.4	415
181	Alabama State	31	377	12.2	371	12.0	1.02	2015	0.17	648	108	3.48	389	37.2	1153	12.5	24.6	764	181	0.28	0.49	5.84	1271	71.5	647	.451	215	1.16	6.9	21	.467	573	.332	20.1	623	.684	13.7	426
182	Hampton	31	377	12.2	433	14.0	0.87	2015	0.18	638	117	3.77	438	41.6	1291	14.1	27.5	853	168	0.26	0.39	5.42	1252	74.8	659	.471	203	1.21	6.5	21	.468	590	.308	26.0	805	.657	17.1	529
183	Oklahoma State	32	389	12.2	402	12.6	0.97	2015	0.21	637	132	4.13	310	34.7	1111	9.7	25.0	801	179	0.28	0.45	5.59	1084	66.5	625	.478	205	1.25	6.4	20	.483	518	.328	20.4	654	.729	14.9	477
184	Norfolk State	33	401	12.2	412	12.5	0.97	2015	0.24	703	170	5.15	363	34.7	1146	11.0	23.7	783	187	0.27	0.45	5.67	1179	73.9	679	.468	240	1.31	7.3	21	.491	552	.353	24.1	795	.775	18.7	616
185	Tenn-Martin	33	400	12.1	406	12.3	0.99	2015	0.12	582	67	2.03	356	36.6	1208	10.8	25.8	852	191	0.33	0.47	5.79	1133	72.7	746	.509	256	1.28	7.8	23	.511	577	.343	20.3	671	.709	14.4	476
186	Sacred Heart	30	363	12.1	442	14.7	0.82	2015	0.12	625	77	2.57	378	37.6	1128	12.6	25.0	750	190	0.30	0.43	6.33	1251	73.9	544	.492	169	1.24	5.6	18	.484	616	.311	23.2	695	.688	15.9	478
187	Northern Iowa	34	406	11.9	334	9.8	1.22	2015	0.17	515	88	2.59	183	30.1	1022	5.4	24.7	839	193	0.37	0.58	5.68	1009	68.0	742	.518	278	1.32	8.2	22	.537	523	.375	16.9	574	.753	12.7	432
188	Western Michigan	32	382	11.9	401	12.5	0.95	2015	0.13	632	80	2.50	359	37.2	1190	11.2	26.0	831	183	0.29	0.46	5.72	1255	73.2	569	.469	197	1.28	6.2	18	.485	589	.346	25.2	805	.712	17.9	573
189	Saint Peter's	30	357	11.9	392	13.1	0.91	2015	0.16	528	85	2.83	322	36.8	1105	10.7	26.1	783	167	0.32	0.43	5.57	1100	65.5	560	.470	183	1.18	6.1	19	.477	517	.327	19.4	582	.658	12.8	383
190	St. Francis (PA)	30	356	11.9	379	12.6	0.94	2015	0.18	515	95	3.17	349	36.4	1093	11.6	24.8	744	140	0.27	0.37	4.67	1093	70.3	607	.456	218	1.24	7.3	20	.485	498	.359	22.1	662	.695	15.3	460
191	New Hampshire	31	367	11.8	359	11.6	1.02	2015	0.10	552	54	1.74	358	39.1	1211	11.5	27.5	853	123	0.22	0.34	3.97	1207	71.1	617	.465	201	1.21	6.5	20	.473	561	.326	21.4	664	.720	15.4	478
192	Winthrop	32	378	11.8	403	12.6	0.94	2015	0.29	604	174	5.44	291	36.3	1160	9.1	27.2	869	174	0.29	0.43	5.44	1101	82.2	768	.550	285	1.41	8.9	24	.552	605	.371	23.6	756	.749	17.7	566
193	DePaul	31	366	11.8	458	14.8	0.80	2015	0.14	686	95	3.06	317	34.2	1059	10.2	23.9	742	150	0.22	0.33	4.84	1201	67.5	490	.486	168	1.24	5.4	16	.494	584	.343	19.9	618	.680	13.5	420
194	Texas State	31	366	11.8	370	11.9	0.99	2015	0.17	576	96	3.10	336	34.4	1065	10.8	23.5	729	190	0.33	0.51	6.13	1234	66.0	459	.468	149	1.21	4.8	15	.473	578	.325	21.2	658	.673	14.3	443
195	Rutgers	32	377	11.8	443	13.8	0.85	2015	0.20	562	113	3.53	314	34.8	1113	9.8	25.0	799	195	0.35	0.44	6.09	1375	67.7	503	.454	161	1.15	5.0	16	.461	624	.320	20.0	640	.680	13.6	435
196	Central Connecticut	29	341	11.8	402	13.9	0.85	2015	0.21	505	107	3.69	335	36.2	1050	11.6	24.7	715	127	0.25	0.32	4.38	1224	65.1	479	.423	164	1.11	5.7	17	.449	518	.342	18.3	530	.679	12.4	360
197	Charleston	31	364	11.7	393	12.7	0.93	2015	0.12	620	75	2.42	335	35.0	1085	10.8	24.2	750	222	0.36	0.56	7.16	1123	65.4	595	.459	206	1.18	6.6	19	.480	516	.346	18.3	567	.667	12.2	378
198	Georgia State	30	352	11.7	350	11.7	1.01	2015	0.16	578	91	3.03	243	30.8	925	8.1	22.7	682	200	0.35	0.57	6.67	1161	65.7	436	.479	149	1.23	5.0	15	.488	556	.342	19.9	598	.689	13.7	412
199	Chicago State	32	375	11.7	458	14.3	0.82	2015	0.14	697	98	3.06	414	36.6	1172	12.9	23.7	758	246	0.35	0.54	7.69	1245	66.9	750	.431	228	1.07	7.1	23	.440	536	.304	17.9	573	.670	12.0	384
200	Kent State	32	375	11.7	379	11.8	0.99	2015	0.19	578	109	3.41	405	37.7	1205	12.7	25.0	800	169	0.29	0.45	5.28	1308	73.8	564	.496	185	1.26	5.8	18	.495	649	.328	23.3	744	.683	15.9	508
201	Missouri	31	363	11.7	386	12.5	0.94	2015	0.13	636	81	2.61	295	35.8	1109	9.5	26.3	814	169	0.27	0.44	5.45	1171	68.6	565	.476	175	1.22	5.6	18	.472	557	.310	22.2	688	.708	15.7	487
202	Bowling Green	34	398	11.7	430	12.6	0.93	2015	0.17	655	113	3.32	345	36.4	1238	10.1	26.3	893	209	0.32	0.49	6.15	1350	70.6	563	.479	203	1.25	6.0	17	.497	646	.361	22.4	760	.657	14.7	499
203	Nebraska	34	397	11.7	401	11.8	0.99	2015	0.17	656	112	3.29	377	35.2	1198	11.1	24.1	821	250	0.38	0.62	7.35	1342	72.2	634	.494	220	1.24	6.5	19	.503	663	.347	18.9	644	.730	13.8	470
204	Florida Atlantic	33	385	11.7	402	12.2	0.96	2015	0.22	631	140	4.24	282	32.5	1071	8.5	23.9	789	175	0.28	0.44	5.30	1169	66.3	678	.447	229	1.19	6.9	21	.469	523	.338	18.9	624	.731	13.8	456
205	Stanford	30	350	11.7	355	11.8	0.99	2015	0.16	600	94	3.13	328	34.1	1024	10.9	23.2	696	203	0.34	0.57	6.77	1115	69.6	538	.477	172	1.26	5.7	18	.478	532	.320	24.8	743	.684	16.9	508
206	Marist	30	350	11.7	364	12.1	0.96	2015	0.14	587	81	2.70	261	32.5	975	8.7	23.8	714	138	0.24	0.38	4.60	987	71.5	726	.481	248	1.25	8.3	24	.494	475	.342	20.5	615	.733	15.0	451
207	Southern Utah	29	338	11.7	381	13.1	0.89	2015	0.13	602	79	2.72	238	30.3	878	8.2	22.1	640	163	0.27	0.43	5.62	1071	70.3	550	.473	200	1.26	6.9	19	.498	507	.364	20.6	598	.712	14.7	426
208	Bethune-Cookman	32	372	11.6	415	13.0	0.90	2015	0.32	601	191	5.97	407	37.1	1186	12.7	24.3	779	197	0.33	0.47	6.16	1145	70.6	787	.480	249	1.17	7.8	25	.478	550	.316	18.7	597	.688	12.8	411
209	NC State	33	383	11.6	366	11.1	1.05	2015	0.25	558	141	4.27	457	39.6	1306	13.8	25.7	849	149	0.27	0.41	4.52	1404	75.2	595	.469	207	1.24	6.3	18	.485	659	.348	23.5	777	.699	16.5	543
210	Wisconsin	32	371	11.6	351	11.0	1.06	2015	0.19	541	102	3.19	366	34.9	1117	11.4	23.5	751	188	0.35	0.54	5.88	1158	68.9	590	.466	211	1.26	6.6	18	.490	540	.358	21.7	694	.707	15.3	491
211	TCU	33	382	11.6	478	14.5	0.80	2015	0.19	675	126	3.82	355	33.7	1113	10.8	23.0	758	213	0.32	0.45	6.45	1252	66.9	558	.437	187	1.22	5.7	17	.457	547	.335	25.0	826	.671	16.8	554
212	UIC	30	347	11.6	453	15.1	0.77	2015	0.25	641	162	5.40	406	41.2	1235	13.5	27.6	829	168	0.26	0.37	5.60	1356	67.3	440	.416	133	1.12	4.4	15	.425	564	.302	26.5	795	.619	16.4	492
213	Loyola-Chicago	32	370	11.6	405	12.7	0.91	2015	0.15	584	90	2.81	246	30.5	977	7.7	22.8	731	189	0.32	0.47	5.91	1135	64.3	565	.466	196	1.21	6.1	18	.484	529	.347	17.7	565	.731	12.9	413
214	St. Francis (BKN)	32	370	11.6	442	13.8	0.84	2015	0.27	600	161	5.03	390	37.0	1185	12.2	24.8	795	191	0.32	0.43	5.97	1011	65.5	776	.465	240	1.17	7.5	24	.464	470	.309	20.4	652	.667	13.6	435
215	Appalachian State	31	358	11.5	462	14.9	0.77	2015	0.15	666	103	3.32	393	36.8	1140	12.7	24.1	747	127	0.19	0.27	4.10	1075	70.5	720	.431	256	1.22	8.3	23	.472	463	.356	22.6	701	.703	15.9	493
216	Southern Illinois	32	369	11.5	438	13.7	0.84	2015	0.09	685	63	1.97	357	35.5	1135	11.2	24.3	778	232	0.34	0.53	7.25	1209	73.8	618	.510	212	1.29	6.6	19	.511	616	.343	22.4	718	.685	15.4	492
217	Campbell	30	345	11.5	353	11.8	0.98	2015	0.12	582	72	2.40	242	32.2	967	8.1	24.2	725	214	0.37	0.61	7.13	996	73.6	675	.522	224	1.32	7.5	23	.512	520	.332	23.0	690	.717	16.5	495
218	Ohio State	33	379	11.5	426	12.9	0.89	2015	0.31	584	179	5.42	350	37.6	1240	10.6	27.0	890	183	0.31	0.43	5.55	1257	70.4	612	.495	208	1.24	6.3	19	.500	622	.340	20.6	679	.672	13.8	456
219	Eastern Michigan	33	379	11.5	425	12.9	0.89	2015	0.18	674	122	3.70	386	36.2	1195	11.7	24.5	809	312	0.46	0.73	9.45	1359	77.4	601	.506	187	1.30	5.7	18	.494	688	.311	25.9	854	.721	18.7	616
220	Texas	32	367	11.5	332	10.4	1.11	2015	0.21	664	140	4.38	352	34.5	1105	11.0	23.5	753	165	0.25	0.50	5.16	1171	71.3	657	.483	223	1.25	7.0	21	.493	566	.339	22.7	725	.665	15.1	482
221	Delaware State	32	367	11.5	446	13.9	0.82	2015	0.15	635	93	2.91	340	33.2	1063	10.6	22.6	723	173	0.27	0.39	5.41	1117	61.9	698	.430	230	1.09	7.2	22	.455	480	.330	16.8	536	.616	10.3	330
222	UT San Antonio	32	366	11.4	435	13.6	0.84	2015	0.11	701	80	2.50	327	33.9	1086	10.2	23.7	759	206	0.29	0.47	6.44	1224	72.4	691	.471	220	1.21	6.9	22	.473	576	.318	22.5	719	.702	15.8	505
223	McNeese	29	331	11.4	370	12.8	0.89	2015	0.22	583	126	4.34	321	36.0	1045	11.1	25.0	724	171	0.29	0.46	5.90	1134	71.8	617	.453	205	1.19	7.1	21	.469	514	.332	21.7	629	.700	15.2	440
224	UC Davis	30	342	11.4	427	14.2	0.80	2015	0.09	531	49	1.63	255	34.4	1033	8.5	25.9	778	186	0.35	0.44	6.20	1145	63.8	463	.466	164	1.19	5.5	15	.484	533	.354	18.6	557	.639	11.9	356
